name,position,team,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW,In_DreamTeam,Season
Benjamin White,DEF,Arsenal,0,2,31,1,39.9,10,160,0,0,5.6,15,2022-11-12T19:45:00Z,90,20,0,0,0,0,16,0,1029858,2,0,1,8,112165,133123,20958,46,FALSE,0,16,0,22-23
Jacob Ramsey,MID,Aston Villa,0,0,6,0,0,47,152,1,0,0,0,2022-11-13T14:00:00Z,68,5,0,0,0,0,16,0,107975,2,1,0,2,14392,18287,3895,52,FALSE,0,16,0,22-23
Kieffer Moore,FWD,Bournemouth,0,0,24,1,4.3,62,151,0,1,7.6,33,2022-11-12T15:00:00Z,66,8,0,0,0,0,16,0,133254,0,3,39,6,15076,32986,17910,54,TRUE,0,16,0,22-23
Issa Diop,DEF,Fulham,0,0,15,0,0,470,153,2,0,0,0,2022-11-13T16:30:00Z,90,14,0,0,0,0,16,0,23671,2,1,0,1,1442,2898,1456,43,TRUE,0,16,0,22-23
Rico Henry,DEF,Brentford,0,0,18,0,17.8,85,155,1,0,3.9,21.6,2022-11-12T12:30:00Z,90,13,0,0,0,0,16,0,116176,2,1,0,2,-15340,1555,16895,45,FALSE,0,16,0,22-23
Harry Wilson,MID,Fulham,0,0,2,0,0,212,153,1,0,0,0,2022-11-13T16:30:00Z,58,14,0,0,0,0,16,0,5733,2,1,0,1,145,551,406,57,TRUE,0,16,0,22-23
Tim Ream,DEF,Fulham,0,0,12,0,0,201,153,2,0,0,0,2022-11-13T16:30:00Z,90,14,0,0,0,0,16,0,15619,2,1,0,1,-803,610,1413,45,TRUE,0,16,1,22-23
Thilo Kehrer,DEF,West Ham,0,0,9,0,0.8,588,159,2,0,1.6,12.8,2022-11-12T15:00:00Z,90,10,0,0,0,0,16,0,40443,2,0,2,1,-2767,1101,3868,45,TRUE,0,16,0,22-23
Harvey Elliott,MID,Liverpool,1,0,22,0,19.3,294,154,1,0,4.1,19.4,2022-11-12T15:00:00Z,67,17,0,0,0,0,16,0,91971,1,3,2,5,-2588,5969,8557,50,TRUE,0,16,0,22-23
Robin Koch,DEF,Leeds,0,0,13,0,1,230,158,4,0,2.1,19.8,2022-11-12T15:00:00Z,90,18,0,0,0,0,16,0,17094,3,4,0,0,-1710,154,1864,45,FALSE,0,16,0,22-23
Boubakary Soumaré,MID,Leicester,0,0,19,1,14.3,269,159,0,0,2.6,11.4,2022-11-12T15:00:00Z,68,19,0,0,0,0,16,0,52760,2,0,0,3,-1760,590,2350,44,FALSE,0,16,0,22-23
James Tarkowski,DEF,Everton,0,0,14,0,0.8,199,151,3,0,3.8,28.2,2022-11-12T15:00:00Z,90,3,0,0,0,0,16,0,176985,0,3,9,1,5482,14885,9403,44,FALSE,0,16,0,22-23
Toti António Gomes,DEF,Wolves,0,0,9,0,0.8,489,160,2,0,1.4,13.6,2022-11-12T19:45:00Z,79,1,0,0,0,0,16,0,158660,2,0,0,0,3460,11421,7961,39,TRUE,1,16,0,22-23
Adama Traoré Diarra,MID,Wolves,0,0,6,0,32.5,491,160,2,0,4.7,5.4,2022-11-12T19:45:00Z,90,1,0,0,0,0,16,0,27798,2,0,9,2,-3416,584,4000,55,TRUE,0,16,0,22-23
Eric Dier,DEF,Spurs,0,0,13,0,1.8,430,158,3,0,1.2,10.4,2022-11-12T15:00:00Z,90,11,0,0,0,0,16,0,1058322,3,4,0,1,-52869,28622,81491,52,TRUE,0,16,0,22-23
Neal Maupay,FWD,Everton,0,0,3,0,11.6,110,151,3,0,4.5,4,2022-11-12T15:00:00Z,73,3,0,0,0,0,16,0,66178,0,3,29,2,3548,9775,6227,61,FALSE,0,16,0,22-23
Gabriel Martinelli Silva,MID,Arsenal,1,0,18,1,3.4,19,160,0,0,4.1,14.6,2022-11-12T19:45:00Z,90,20,0,0,0,0,16,0,5349701,2,0,23,6,-19697,100247,119944,68,FALSE,0,16,0,22-23
John McGinn,MID,Aston Villa,1,0,9,0,0,37,152,1,0,0,0,2022-11-13T14:00:00Z,90,5,0,0,0,0,16,0,64115,2,1,0,4,-2360,272,2632,51,FALSE,1,16,0,22-23
Patson Daka,FWD,Leicester,1,0,14,1,13.9,271,159,0,0,3.6,14.2,2022-11-12T15:00:00Z,68,19,0,0,0,0,16,0,118718,2,0,8,5,335,10715,10380,57,FALSE,0,16,0,22-23
Thiago Emiliano da Silva,DEF,Chelsea,0,0,17,0,1.6,128,156,1,0,3,24.6,2022-11-12T17:30:00Z,83,15,0,0,0,0,16,0,702207,0,1,4,2,-17677,15720,33397,54,FALSE,0,16,0,22-23
Illan Meslier,GK,Leeds,0,0,16,0,0,238,158,4,0,3,30,2022-11-12T15:00:00Z,90,18,0,0,0,0,16,3,256850,3,4,0,1,-14323,2671,16994,45,FALSE,0,16,0,22-23
Moisés Caicedo Corozo,MID,Brighton,0,0,6,0,0,120,152,2,0,0,0,2022-11-13T14:00:00Z,90,2,0,0,0,0,16,0,33077,2,1,0,1,-1364,974,2338,50,TRUE,1,16,0,22-23
David De Gea Quintana,GK,Man Utd,0,0,20,0,0,327,153,1,0,0,0,2022-11-13T16:30:00Z,90,9,0,0,0,0,16,6,764450,2,1,0,4,-3089,27989,31078,49,FALSE,0,16,0,22-23
Lukasz Fabianski,GK,West Ham,0,2,30,0,0,455,159,2,0,4.6,46.2,2022-11-12T15:00:00Z,90,10,0,0,1,0,16,4,139932,2,0,0,9,-3657,2589,6246,50,TRUE,0,16,0,22-23
