name,position,team,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW,In_DreamTeam
Scott McTominay,MID,Man Utd,0,0,14,0,12.4,285,6,1,0,4.8,15.6,2021-08-14T11:30:00Z,68,10,0,0,0,0,1,0,36489,1,5,20,2,0,0,0,55,TRUE,0,1,0
Pablo Marí,DEF,Arsenal,0,0,14,0,1.3,8,1,2,0,2.5,16.6,2021-08-13T19:00:00Z,90,3,0,0,0,0,1,0,9359,0,2,7,1,0,0,0,45,FALSE,0,1,0
Dominic Calvert-Lewin,FWD,Everton,0,1,26,0,2.3,177,4,1,1,12,34.2,2021-08-14T14:00:00Z,90,16,0,0,0,0,1,0,686033,1,3,83,7,0,0,0,80,TRUE,0,1,0
Oliver Skipp,MID,Spurs,0,0,11,1,0.8,373,10,0,0,1.7,16.2,2021-08-15T15:30:00Z,90,12,0,0,0,0,1,0,17425,0,1,0,3,0,0,0,45,TRUE,0,1,0
Ethan Pinnock,DEF,Brentford,1,2,32,1,11.1,91,1,0,0,4.8,36.8,2021-08-13T19:00:00Z,90,1,0,0,0,0,1,0,13971,0,2,0,11,0,0,0,45,TRUE,0,1,0
Vitaly Janelt,MID,Brentford,0,0,6,1,1.4,84,1,0,0,1,6.2,2021-08-13T19:00:00Z,90,1,0,0,0,0,1,0,3003,0,2,2,3,0,0,0,50,TRUE,0,1,0
Davinson Sánchez,DEF,Spurs,0,0,21,1,0.3,367,10,0,0,2.5,18.8,2021-08-15T15:30:00Z,90,12,0,0,0,0,1,0,37061,0,1,6,5,0,0,0,45,TRUE,1,1,0
Bryan Mbeumo,MID,Brentford,0,0,4,1,13.3,96,1,0,0,3.8,2.4,2021-08-13T19:00:00Z,85,1,0,0,0,0,1,0,73833,0,2,22,3,0,0,0,55,TRUE,0,1,0
Abdoulaye Doucouré,MID,Everton,0,2,31,0,4.6,173,4,1,1,8.3,41.8,2021-08-14T14:00:00Z,90,16,0,0,0,0,1,0,19357,1,3,37,8,0,0,0,55,TRUE,1,1,0
Tim Krul,GK,Norwich,0,0,15,0,0,314,7,3,0,3.1,30.8,2021-08-14T16:30:00Z,90,11,0,0,0,0,1,3,99090,3,0,0,2,0,0,0,45,TRUE,0,1,0
